Grand Prix,Driver,Car,Time,Name Code,Country Code,Latitude,Longitude
South Africa,Emerson  Fittipaldi ,Lotus Ford,1:17.100,FIT,ZAF,-26.2474,27.8477
Spain,Ronnie  Peterson ,Lotus Ford,1:23.800,PET,ESP,41.57,2.2615
Belgium,Francois Cevert,Tyrrell Ford,1:25.420,CEV,BEL,50.4372,5.9714
Monaco,Emerson  Fittipaldi ,Lotus Ford,1:28.100,FIT,MON,43.7347,7.4206
Sweden,Denny  Hulme ,McLaren Ford,1:26.146,HUL,SWE,59.4088,17.7569
France,Denny  Hulme ,McLaren Ford,1:50.990,HUL,FRA,43.2509,5.7901
Great Britain,James  Hunt ,March Ford,1:18.600,HUN,GBR,52.0786,-1.0169
Netherlands,Ronnie  Peterson ,Lotus Ford,1:20.310,PET,NED,52.3888,4.5409
Germany,Carlos  Pace ,Surtees Ford,7:11.400,PAC,DEU,49.3276,8.5625
Austria,Carlos  Pace ,Surtees Ford,1:37.290,PAC,AUT,47.2197,14.7646
Italy,Jackie  Stewart ,Tyrrell Ford,1:35.300,STE,ITA,44.3406,11.7161
Canada,Emerson  Fittipaldi ,Lotus Ford,1:15.496,FIT,CAN,45.5049,-73.5262
United States,James  Hunt ,March Ford,1:41.652,HUN,USA,30.1328,-97.6411
Argentina,Clay  Regazzoni ,Ferrari,1:52.100,REG,ARG,-34.6466,-58.3876
Brazil,Clay  Regazzoni ,Ferrari,2:36.050,REG,BRA,-23.7036,-46.6997
South Africa,Carlos  Reutemann ,Brabham Ford,1:18.160,REU,ZAF,-26.2474,27.8477
Spain,Niki  Lauda ,Ferrari,1:20.830,LAU,ESP,41.57,2.2615
Belgium,Denny  Hulme ,McLaren Ford,1:11.310,HUL,BEL,50.4372,5.9714
Monaco,Ronnie  Peterson ,Lotus Ford,1:27.900,PET,MON,43.7347,7.4206
Sweden,Patrick  Depailler ,Tyrrell Ford,1:27.262,DEP,SWE,59.4088,17.7569
Netherlands,Ronnie  Peterson ,Lotus Ford,1:21.440,PET,NED,52.3888,4.5409
France,Jody  Scheckter ,Tyrrell Ford,1:00.000,SCH,FRA,43.2509,5.7901
Great Britain,Niki  Lauda ,Ferrari,1:21.100,LAU,GBR,52.0786,-1.0169
Germany,Jody  Scheckter ,Tyrrell Ford,7:11.100,SCH,DEU,49.3276,8.5625
Austria,Clay  Regazzoni ,Ferrari,1:37.220,REG,AUT,47.2197,14.7646
Italy,Carlos  Pace ,Brabham Ford,1:34.200,PAC,ITA,44.3406,11.7161
Canada,Niki  Lauda ,Ferrari,1:13.659,LAU,CAN,45.5049,-73.5262
United States,Carlos  Pace ,Brabham Ford,1:40.608,PAC,USA,30.1328,-97.6411
Argentina,James  Hunt ,Hesketh Ford,1:50.910,HUN,ARG,-34.6466,-58.3876
Brazil,Jean-Pierre  Jarier ,Shadow Matra,2:34.160,JAR,BRA,-23.7036,-46.6997
South Africa,Carlos  Pace ,Brabham Ford,1:17.200,PAC,ZAF,-26.2474,27.8477
Spain,Mario  Andretti ,Parnelli Ford,1:25.100,AND,ESP,41.57,2.2615
Monaco,Patrick  Depailler ,Tyrrell Ford,1:28.670,DEP,MON,43.7347,7.4206
Belgium,Clay  Regazzoni ,Ferrari,1:26.760,REG,BEL,50.4372,5.9714
Sweden,Niki  Lauda ,Ferrari,1:28.267,LAU,SWE,59.4088,17.7569
Netherlands,Niki  Lauda ,Ferrari,1:21.540,LAU,NED,52.3888,4.5409
France,Jochen  Mass ,McLaren Ford,1:50.600,MAS,FRA,43.2509,5.7901
Great Britain,Clay  Regazzoni ,Ferrari,1:20.900,REG,GBR,52.0786,-1.0169
Germany,Clay  Regazzoni ,Ferrari,7:06.400,REG,DEU,49.3276,8.5625
Austria,Vittorio  Brambilla ,March Ford,1:53.900,BRA,AUT,47.2197,14.7646
Italy,Clay  Regazzoni ,Ferrari,1:33.100,REG,ITA,44.3406,11.7161
United States,Emerson  Fittipaldi ,McLaren Ford,1:43.374,FIT,USA,30.1328,-97.6411
Brazil,Jean-Pierre  Jarier ,Shadow Ford,2:35.070,JAR,BRA,-23.7036,-46.6997
South Africa,Niki  Lauda ,Ferrari,1:17.970,LAU,ZAF,-26.2474,27.8477
